Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	33514	-	0	0	0	0	0	0	9	216	0	0	0	0	0	0	0	1	0	0	370	215	0	0	0	18	0	2
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	14	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	28	15	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Imaging-Bundle.json	9780	42	0	0	0	0	53	0	1	304	0	0	0	0	0	0	0	0	0	0	70	97	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Investigation-Requests-Bundle.json	9875	35	0	0	0	0	9	0	0	39	0	0	0	0	0	0	0	0	0	0	58	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-1-Bundle.json	7295	26	0	0	0	0	8	0	1	29	0	0	0	0	0	0	0	0	0	0	53	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-2-Bundle.json	10133	34	0	0	0	0	13	0	1	85	0	0	0	0	0	0	0	0	0	0	54	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Bundle.json	8083	29	0	0	0	0	27	0	0	91	0	0	0	0	0	0	0	1	0	0	43	19	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Dispenses-Bundle.json	11769	28	0	0	0	0	18	0	1	47	0	0	0	0	0	0	0	0	0	0	60	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Procedure-Bundle.json	8810	21	0	0	0	0	13	0	1	88	0	0	0	0	0	0	0	0	0	0	51	29	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMS-Transactional-Bundle.json	27368	68	0	0	0	0	65	0	2	281	0	0	0	0	0	0	0	0	0	0	163	71	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Blood-Pressure-Bundle.json	9994	27	0	0	0	0	9	0	1	180	0	0	0	0	0	0	0	1	0	0	49	24	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-CVS-Risk-Factor-Bundle.json	20431	47	0	0	0	0	30	0	1	128	0	0	0	0	0	0	0	0	0	0	104	42	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	40394	159	1	0	0	0	53	0	3	370	0	0	0	0	0	0	0	0	0	0	202	70	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Follow-Up-Plan-Bundle.json	11613	26	0	0	0	0	10	0	1	26	0	0	0	0	0	0	0	1	0	0	53	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Investigations-Bundle.json	14171	40	0	0	0	0	10	0	1	40	0	0	0	0	0	0	0	0	0	0	75	28	0	0	0	0	0	2
fsh-generated/resources/Bundle-HIMS-Medical-History-Bundle.json	9529	21	0	0	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	0	45	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Risk-Behaviour-Bundle.json	10601	23	0	0	0	0	9	0	1	32	0	0	0	0	0	0	0	0	0	0	51	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	30797	81	0	0	0	0	24	0	1	112	0	0	0	0	0	0	0	1	0	0	157	230	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Weight-Height-Bundle.json	10732	24	0	0	0	0	9	0	1	20	0	0	0	0	0	0	0	0	0	0	52	51	0	0	0	0	0	0
