Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	34040	-	0	0	0	0	0	0	12	214	0	0	0	0	0	0	0	2	0	0	223	139	0	0	0	9	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	15	0	0	1	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	11	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Imaging-Bundle.json	9780	35	0	0	0	0	50	0	1	361	0	0	0	0	0	0	0	0	0	0	57	58	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Investigation-Requests-Bundle.json	9875	38	1	0	0	0	13	0	0	61	0	0	0	0	0	0	0	0	0	0	56	21	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-1-Bundle.json	7295	28	0	0	0	0	9	0	1	39	0	0	0	0	0	0	0	0	0	0	35	14	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-2-Bundle.json	10133	35	0	0	0	0	12	0	0	63	0	0	0	0	0	0	0	0	0	0	59	32	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Bundle.json	8083	34	0	0	0	0	25	0	1	53	0	0	0	0	0	0	0	0	0	0	37	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Dispenses-Bundle.json	11769	42	0	0	0	0	25	0	1	61	0	0	0	0	0	0	0	3	0	0	60	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Procedure-Bundle.json	8810	39	0	0	0	0	17	0	0	92	0	0	0	0	0	0	0	0	0	0	42	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Transactional-Bundle.json	27368	91	0	0	0	0	46	0	2	227	0	0	0	0	0	0	0	0	0	0	131	101	0	0	0	0	0	0
