Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	29924	-	0	0	0	0	0	0	8	117	0	0	0	0	0	0	0	1	0	0	192	111	0	0	1	6	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	5	0	0	0	1	0	0	0	96	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Transactional-Bundle.json	27321	35	0	0	0	0	101	0	2	495	0	0	0	0	0	0	0	0	0	0	213	83	0	0	0	0	0	1
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	40394	50	0	0	0	0	45	0	2	461	0	0	0	0	0	0	0	1	0	0	153	125	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	30797	37	0	0	0	0	28	0	2	103	0	0	0	0	0	0	0	0	0	0	119	72	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1000	3	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	1934	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	517	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	8	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	637	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	53	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14608	22	0	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	79	151	0	0	0	2	1	0
fsh-generated/resources/CodeSystem-cs-medication-name.json	21724	86	0	0	0	0	0	0	2	54	0	0	1	0	0	0	0	0	0	0	113	131	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1891	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	15	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	2105	5	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	100501	163	1	0	0	0	0	0	8	392	0	0	0	0	0	0	0	0	0	0	482	301	0	0	0	19	0	2
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6014	12	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1211	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	867	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1114	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1602	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsExample.json	941	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsNoCodeExample.json	716	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1024	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionsExample.json	2199	5	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	3	1	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	4	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	717	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1548	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	931	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
