Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	24040	-	0	0	0	0	0	0	6	101	0	0	0	0	0	0	0	1	0	0	190	126	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1002	17	2	0	0	0	0	0	0	89	0	0	0	0	0	0	0	1	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	898	13	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	42833	115	0	0	0	0	93	0	2	1005	0	0	0	0	0	0	0	0	0	0	188	126	0	0	0	0	0	1
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	33242	89	0	0	0	0	28	0	2	187	0	0	0	0	0	0	0	1	0	0	143	104	0	0	0	0	0	0
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-absent-or-unknown-allergies.json	1332	13	0	0	1	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	18	2035	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1302	13	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	75	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1281	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	86	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	1112	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	719	11	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-medical-conditions.json	901	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	135720	417	1	0	0	0	0	0	9	315	0	0	0	0	0	0	0	2	0	0	708	427	0	0	0	31	0	2
fsh-generated/resources/CodeSystem-cs-risk-behaviour-physical-activity.json	796	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	118	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-tobacco-smoker.json	729	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	56	0	0	0	1	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	11	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6092	31	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	21	17	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1270	13	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	914	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1602	14	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	13	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	15	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	14	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Observation-HypertensionExample.json	1115	13	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1548	18	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	956	13	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	924	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1404	15	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	999	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	574	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HHIMSPatientExample.json	2036	16	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HIMSPatientExample.json	4308	26	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	545	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
