Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	30467	-	0	0	0	0	0	0	64	137	0	0	0	0	0	0	0	3	0	0	236	240	0	0	0	12	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	5	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Transactional-Bundle.json	27321	41	0	0	0	0	125	0	2	467	0	0	0	0	0	0	0	1	0	0	155	130	0	0	0	0	0	1
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	40394	59	1	0	0	0	78	0	2	386	0	0	0	0	0	0	0	0	0	0	216	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	30797	42	0	0	0	0	19	0	2	142	0	0	0	0	0	0	0	0	0	0	240	100	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1000	3	0	0	1	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	14	2154	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	517	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	10	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	637	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	72	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14608	27	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	1	0	0	89	160	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-cs-medication-name.json	21724	42	1	0	0	0	0	0	2	61	0	0	2	0	0	0	0	0	0	0	129	135	0	0	0	13	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1891	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	2105	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	32	0	0	0	10	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	100501	192	2	0	0	0	0	0	10	337	0	0	1	0	0	0	0	1	0	0	546	409	0	0	0	23	0	3
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	2	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6014	15	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	22	21	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1211	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	867	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1114	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1602	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsExample.json	941	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsNoCodeExample.json	716	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1024	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionsExample.json	2199	5	1	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	717	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1548	4	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	931	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	932	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1404	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	999	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	574	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Patient-HHIMSPatientExample.json	2036	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Patient-HIMSPatientExample.json	4308	7	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	545	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProceduresExample.json	1056	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/RiskAssessment-CVDRiskCategoryExample.json	1963	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1111	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GeneralReferralServiceRequestExample.json	797	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GenericServiceRequestExample.json	788	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ImagingServiceRequestExample.json	822	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-InvestigationsServiceRequestExample.json	846	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-allergy-intolerance.json	2957	6	0	0	0	0	0	140	0	179	0	0	0	0	0	0	0	1	0	0	247	1373	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	6853	12	0	0	0	0	0	511	0	668	0	0	0	0	0	0	0	1	0	0	643	2446	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-bmi.json	3369	7	0	0	0	0	0	183	0	192	0	0	1	0	0	0	0	2	0	0	399	848	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-cvd-risk-category.json	4406	9	0	0	0	0	0	105	0	98	0	0	0	0	0	0	0	0	0	0	218	525	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-drug-dispensation.json	3088	6	0	0	0	0	0	125	0	108	0	0	0	0	0	0	0	1	0	0	233	513	0	0	0	5	1	0
