Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	33637	-	0	0	0	0	0	0	7	130	0	0	0	0	0	0	0	2	0	0	222	161	0	0	0	7	0	3
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	4	0	0	0	1	0	0	0	97	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Imaging-Bundle.json	9648	15	0	0	0	0	41	0	1	216	0	0	0	0	0	0	0	0	0	0	47	54	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Investigation-Requests-Bundle.json	9743	13	1	0	0	0	6	0	0	38	0	0	0	0	0	0	0	0	0	0	43	19	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-1-Bundle.json	7163	10	0	0	0	0	4	0	1	43	0	0	0	0	0	0	0	0	0	0	56	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-2-Bundle.json	10001	13	0	0	0	0	10	0	0	55	0	0	0	0	0	0	0	0	0	0	46	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Bundle.json	8015	11	0	0	0	0	18	0	0	64	0	0	0	0	0	0	0	0	0	0	34	12	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Dispenses-Bundle.json	11637	15	0	0	0	0	11	0	1	51	0	0	0	0	0	0	0	2	0	0	47	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Procedure-Bundle.json	8678	12	0	0	0	0	9	0	1	79	0	0	0	0	0	0	0	0	0	0	37	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Transactional-Bundle.json	27236	52	0	0	0	0	34	0	1	237	0	0	0	0	0	0	0	0	0	0	126	41	0	0	0	0	0	1
