Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	31994	-	0	0	0	0	0	0	7	99	0	0	0	0	0	0	0	2	0	0	252	160	0	0	0	8	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1002	5	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	898	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	40271	45	0	0	0	0	71	0	2	603	0	0	0	0	0	0	0	1	0	0	149	178	0	0	0	0	0	1
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	30674	32	0	0	0	0	15	0	1	70	0	0	0	0	0	0	0	0	0	0	123	101	0	0	0	0	0	0
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	2	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-absent-or-unknown-allergies.json	1332	3	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	1	13	2231	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1097	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	76	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1076	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	948	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	637	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14608	21	0	0	0	0	0	0	1	46	0	0	1	0	0	0	0	0	0	0	78	107	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-cs-medication-name.json	21724	34	0	0	0	0	0	0	2	57	0	0	4	0	0	0	0	0	0	0	115	83	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1891	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	2105	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	100501	149	1	0	0	0	0	0	9	336	0	0	0	0	0	0	0	1	0	0	558	328	0	0	0	20	0	2
fsh-generated/resources/CodeSystem-cs-risk-behaviour-physical-activity.json	714	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-tobacco-smoker.json	647	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	37	0	0	0	0	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6014	12	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1211	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	914	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1114	2	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1602	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsExample.json	941	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-InjectionsNoCodeExample.json	716	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1024	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionsExample.json	2199	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	3	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	14	6	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	717	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1548	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	956	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	924	3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1404	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	10	5	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	999	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	574	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
fsh-generated/resources/Patient-HHIMSPatientExample.json	2036	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Patient-HIMSPatientExample.json	4308	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	545	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProceduresExample.json	1056	3	1	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/RiskAssessment-CVDRiskCategoryExample.json	1794	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	12	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1159	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GeneralReferralServiceRequestExample.json	797	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GenericServiceRequestExample.json	788	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ImagingServiceRequestExample.json	822	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-InvestigationsServiceRequestExample.json	846	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-allergy-intolerance.json	5072	6	0	0	0	0	0	123	0	123	0	0	0	0	0	0	0	0	0	0	267	1245	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	6853	9	0	0	0	0	0	413	0	271	0	0	0	0	0	0	0	1	0	0	674	1863	0	0	0	13	0	1
