Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	22889	-	0	0	0	0	0	0	7	185	0	0	0	0	0	0	0	1	0	0	225	218	0	0	0	8	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1002	21	1	0	0	1	0	0	0	107	0	0	0	0	0	0	0	0	0	0	16	42	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	898	17	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	42964	203	0	0	0	0	125	0	3	1300	0	0	0	0	0	0	0	1	0	0	317	268	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	33373	167	0	0	0	0	32	0	2	190	0	0	0	0	0	0	0	1	0	0	183	147	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	16	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-absent-or-unknown-allergies.json	1332	18	0	0	1	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	19	3193	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1302	17	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	19	84	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1281	18	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	23	99	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	1112	17	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	75	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	719	15	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-medical-conditions.json	901	16	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	135720	658	1	0	0	0	0	0	9	576	0	0	1	0	0	0	0	2	0	0	835	704	0	0	0	25	0	13
fsh-generated/resources/CodeSystem-cs-risk-behaviour-physical-activity.json	796	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	29	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-tobacco-smoker.json	729	13	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	57	0	0	0	1	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	12	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6092	36	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	37	28	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1270	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	914	15	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1602	15	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	16	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	16	19	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	17	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	16	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	15	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Observation-HypertensionExample.json	1115	15	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1548	17	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	956	15	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	924	14	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1404	16	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	999	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	574	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0
