Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	15564	-	0	0	0	0	0	0	8	201	0	0	0	0	0	0	0	1	1	0	222	187	0	0	1	6	0	1
fsh-generated/resources/StructureDefinition-total-cholesterol.json	4340	22	0	0	0	1	0	410	1	386	0	0	0	0	0	0	0	2	0	0	597	3986	0	0	0	28	0	2
fsh-generated/resources/Composition-HIMSCompositionExample.json	5544	32	0	0	1	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	40	68	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	924	5	1	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	719	4	0	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	16	2087	0	0	0	1	0	0
fsh-generated/resources/Bundle-HIMS-Document.json	38104	104	0	0	0	0	104	0	3	794	0	0	0	0	0	0	0	1	0	0	204	144	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1281	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	20	75	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-bmi.json	4190	15	0	0	0	0	0	458	0	529	0	0	0	0	0	0	0	1	0	0	584	2257	0	0	0	16	0	13
fsh-generated/resources/ValueSet-vs-risk-behaviour-tobacco-smoker.json	511	4	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	15	8128	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hims-composition.json	2046	8	0	0	0	0	0	361	0	269	0	0	0	0	0	0	0	1	0	0	672	1757	0	0	0	11	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	545	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	45	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-organization.json	2575	11	0	0	0	0	0	237	0	203	0	0	0	0	0	0	0	1	0	0	470	973	0	0	0	9	0	1
fsh-generated/resources/Observation-TotalCholesterolExample.json	1404	7	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	33	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	7378	24	0	0	0	0	0	593	0	588	0	0	0	0	0	0	0	2	0	0	870	1559	0	0	0	24	1	1
fsh-generated/resources/StructureDefinition-hhims-patient.json	5880	20	0	0	0	0	0	559	0	544	0	0	1	0	0	0	0	2	0	0	677	1502	0	0	0	19	0	18
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	466	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	10	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-risk-behaviour-tobacco-smoker.json	3528	13	0	0	0	0	0	550	1	301	0	0	0	0	0	0	0	1	0	0	432	798	0	0	0	14	0	0
fsh-generated/resources/ValueSet-vs-risk-behaviour-physical-activity.json	529	4	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fasting-blood-sugar.json	4350	15	0	0	0	0	0	365	0	330	0	0	0	0	0	0	0	2	0	0	499	915	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-follow-up-at-hlc.json	2564	13	0	0	0	0	0	273	0	238	0	0	0	0	0	0	0	1	0	0	337	713	0	0	0	12	1	1
fsh-generated/resources/Observation-WeightExample.json	999	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1558	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/Patient-HIMSPatientExample.json	4293	12	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-tobacco-smoker.json	729	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	44	0	0	0	1	0	0
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	3	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-random-blood-sugar.json	4338	17	0	0	0	0	0	365	0	485	0	0	0	0	0	0	0	1	0	0	562	909	0	0	0	35	0	1
fsh-generated/resources/Patient-HHIMSPatientExample.json	2021	11	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-cvs-risk-factor.json	5786	20	0	0	0	0	0	297	0	350	0	0	1	0	0	0	0	1	0	0	393	665	0	0	0	12	0	0
fsh-generated/resources/RiskAssessment-CVSRiskFactorExample.json	1905	10	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1606	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	14	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-risk-behaviour-physical-activity.json	3553	15	0	0	0	0	0	371	0	276	0	0	0	0	0	0	0	1	0	0	416	1118	0	0	0	12	0	1
fsh-generated/resources/Organization-OrganizationExample.json	574	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-physical-activity.json	796	4	1	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	14	51	0	0	0	1	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	26	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-follow-up-plan.json	5128	16	0	0	0	0	0	378	0	327	0	0	0	0	0	0	0	1	0	0	502	1286	0	0	0	13	0	1
fsh-generated/resources/ValueSet-vs-follow-up-reasons.json	432	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-hims-patient.json	6649	18	0	0	0	0	0	771	0	764	0	0	0	0	0	0	0	3	0	0	945	1638	0	0	0	33	1	2
fsh-generated/resources/StructureDefinition-practitioner.json	1472	7	0	0	0	0	0	178	0	145	0	0	0	0	0	0	0	0	0	0	204	371	0	0	0	14	0	12
fsh-generated/resources/StructureDefinition-weight.json	4189	15	0	0	0	0	0	428	0	372	0	0	1	0	0	0	0	2	0	0	558	749	0	0	0	32	0	1
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	956	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1153	6	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-multiple-values-for-patient-identifier.json	1745	7	0	0	0	0	0	26	0	31	0	0	0	0	0	0	0	0	0	0	56	99	0	1	0	5	0	0
fsh-generated/resources/ValueSet-vs-follow-up-plan.json	416	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	55	0	0	0	1	0	0
