Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	26859	-	0	0	0	0	0	0	11	113	0	0	0	0	0	0	0	0	0	0	175	195	0	0	0	7	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1002	12	1	0	0	3	0	0	0	103	0	0	0	0	0	0	0	0	0	0	14	38	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	898	10	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	41848	107	0	0	0	0	96	0	2	570	0	0	0	0	0	0	0	1	0	0	159	143	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	32257	82	0	0	0	0	30	0	2	137	0	0	0	0	0	0	0	0	0	0	126	130	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	10	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	9	15	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-absent-or-unknown-allergies.json	1332	10	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	1906	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1302	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	73	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1281	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	1112	10	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	58	0	0	0	0	0	0
