Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	33637	-	0	0	0	0	0	0	8	151	0	0	0	0	0	0	0	2	0	0	213	168	0	0	0	8	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1014	5	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	909	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Imaging-Bundle.json	9648	14	0	0	0	0	44	0	1	297	0	0	0	0	0	0	0	1	0	0	40	45	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMS-Investigation-Requests-Bundle.json	9743	13	0	0	0	0	14	0	1	37	0	0	0	0	0	0	0	0	0	0	42	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-1-Bundle.json	7163	10	1	0	0	0	9	0	0	36	0	0	0	0	0	0	0	0	0	0	28	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Encounter-2-Bundle.json	10001	14	0	0	0	0	10	0	1	48	0	0	0	0	0	0	0	0	0	0	48	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Bundle.json	8015	11	0	0	0	0	19	0	0	67	0	0	0	0	0	0	0	0	0	0	33	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-OPD-Prescription-Dispenses-Bundle.json	11637	15	0	0	0	0	14	0	1	41	0	0	0	0	0	0	0	2	0	0	47	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMS-Procedure-Bundle.json	8678	12	0	0	0	0	9	0	0	93	0	0	0	0	0	0	0	0	0	0	37	13	0	0	0	0	0	0
