"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: null"
"RegisterPatientDataDictionary","RegisterPatientDataDictionary","","","",0,*,"","","","null {[]} {[]}
","Register Patient","Data elements for the Register Patient Data Dictionary.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","Patient"
"RegisterPatientDataDictionary.personalHealthNumber","RegisterPatientDataDictionary.personalHealthNumber","","","",1,1,"","","Y","string {[]} {[]}
","Personal health number","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP1
",,,,"RegisterPatientDataDictionary.personalHealthNumber",1,1,"","","Patient.identifier.value"
"RegisterPatientDataDictionary.nationalIdentityCard","RegisterPatientDataDictionary.nationalIdentityCard","","","",0,*,"","","Y","string {[]} {[]}
","National identity card","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP2
",,,,"RegisterPatientDataDictionary.nationalIdentityCard",0,*,"","","Patient.identifier.value"
"RegisterPatientDataDictionary.pasport","RegisterPatientDataDictionary.pasport","","","",0,*,"","","Y","string {[]} {[]}
","Passport","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP3
",,,,"RegisterPatientDataDictionary.pasport",0,*,"","","Patient.identifier.value"
"RegisterPatientDataDictionary.drivingLicense","RegisterPatientDataDictionary.drivingLicense","","","",0,*,"","","Y","string {[]} {[]}
","Driving license","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP4
",,,,"RegisterPatientDataDictionary.drivingLicense",0,*,"","","Patient.identifier.value"
"RegisterPatientDataDictionary.seniorCitizenNumber","RegisterPatientDataDictionary.seniorCitizenNumber","","","",0,*,"","","Y","string {[]} {[]}
","Senior citizen number","Unique identifier for the patient, according to the policies applicable to each country.","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP5
",,,,"RegisterPatientDataDictionary.seniorCitizenNumber",0,*,"","","Patient.identifier.value"
"RegisterPatientDataDictionary.patientName","RegisterPatientDataDictionary.patientName","","","",0,*,"","","","BackboneElement {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP18
",,,,"RegisterPatientDataDictionary.patientName",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.name"
"RegisterPatientDataDictionary.patientName.id","RegisterPatientDataDictionary.patientName.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"RegisterPatientDataDictionary.patientName.extension","RegisterPatientDataDictionary.patientName.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"RegisterPatientDataDictionary.patientName.modifierExtension","RegisterPatientDataDictionary.patientName.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"RegisterPatientDataDictionary.patientName.fullName","RegisterPatientDataDictionary.patientName.fullName","","","",0,1,"","","","string {[]} {[]}
","Full name","Patient's full name","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP6
",,,,"RegisterPatientDataDictionary.patientName.fullName",0,1,"","RegisterPatient-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.text"
"RegisterPatientDataDictionary.patientName.firstName","RegisterPatientDataDictionary.patientName.firstName","","","",0,1,"","","","string {[]} {[]}
","First name","Patient's first name or given name","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP7
",,,,"RegisterPatientDataDictionary.patientName.firstName",0,1,"","RegisterPatient-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.given"
"RegisterPatientDataDictionary.patientName.surname","RegisterPatientDataDictionary.patientName.surname","","","",0,1,"","","","string {[]} {[]}
","Last name","Patient's family name or last name","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP8
",,,,"RegisterPatientDataDictionary.patientName.surname",0,1,"","RegisterPatient-name-1:Only letters and special characters (period, dash) allowed. {$this.matches('[A-Za-z-.]*')}
","Patient.name.family"
"RegisterPatientDataDictionary.sex","RegisterPatientDataDictionary.sex","","","",1,1,"","","","code {[]} {[]}
","Sex","Documentation of a specific instance of sex information for the patient","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/administrative-gender","http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP9
",,,,"RegisterPatientDataDictionary.sex",1,1,"","","Patient.gender"
"RegisterPatientDataDictionary.address","RegisterPatientDataDictionary.address","","","",0,*,"","","","BackboneElement {[]} {[]}
","Address","Address","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP19
",,,,"RegisterPatientDataDictionary.address",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.address"
"RegisterPatientDataDictionary.address.id","RegisterPatientDataDictionary.address.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"RegisterPatientDataDictionary.address.extension","RegisterPatientDataDictionary.address.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"RegisterPatientDataDictionary.address.modifierExtension","RegisterPatientDataDictionary.address.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"RegisterPatientDataDictionary.address.streetNameAndNr","RegisterPatientDataDictionary.address.streetNameAndNr","","","",0,1,"","","","string {[]} {[]}
","Street name and number","Street name and number","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP11
",,,,"RegisterPatientDataDictionary.address.streetNameAndNr",0,1,"","","Patient.address"
"RegisterPatientDataDictionary.address.city","RegisterPatientDataDictionary.address.city","","","",0,1,"","","","string {[]} {[]}
","City","City","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP10
",,,,"RegisterPatientDataDictionary.address.city",0,1,"","","Patient.address.city"
"RegisterPatientDataDictionary.address.state","RegisterPatientDataDictionary.address.state","","","",0,1,"","","","string {[]} {[]}
","State","State","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP12
",,,,"RegisterPatientDataDictionary.address.state",0,1,"","","Patient.address.state"
"RegisterPatientDataDictionary.address.country","RegisterPatientDataDictionary.address.country","","","",0,1,"","","","string {[]} {[]}
","Country","Country","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP13
",,,,"RegisterPatientDataDictionary.address.country",0,1,"","","Patient.address.country"
"RegisterPatientDataDictionary.address.postalCode","RegisterPatientDataDictionary.address.postalCode","","","",0,1,"","","","string {[]} {[]}
","Postal code","Postal code","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP14
",,,,"RegisterPatientDataDictionary.address.postalCode",0,1,"","","Patient.address.postalCode"
"RegisterPatientDataDictionary.birthDate","RegisterPatientDataDictionary.birthDate","","","",1,1,"","","","date {[]} {[]}
","Date of birth","Patient's date of birth (DOB) if known; if unknown, use assigned DOB for administrative purposes","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP15
",,,,"RegisterPatientDataDictionary.birthDate",1,1,"","","Patient.birthDate"
"RegisterPatientDataDictionary.contactDetails","RegisterPatientDataDictionary.contactDetails","","","",0,*,"","","","BackboneElement {[]} {[]}
","Contact details","Contact details","","","","","","","","","",,,,,"http://openhie.org/fhir/sri-lanka/CodeSystem/cs-register-patient-codes#RP20
",,,,"RegisterPatientDataDictionary.contactDetails",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Patient.telecom"
"RegisterPatientDataDictionary.contactDetails.id","RegisterPatientDataDictionary.contactDetails.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"RegisterPatientDataDictionary.contactDetails.extension","RegisterPatientDataDictionary.contactDetails.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
