Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-openhie.fhir.sri-lanka.json	32841	-	0	0	0	0	0	0	7	124	0	0	0	0	0	0	0	1	0	0	201	142	0	0	0	6	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1002	4	1	0	0	1	0	0	0	92	0	0	0	0	0	0	0	0	0	0	74	15	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-AllergiesNoCodeExample.json	898	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Document-Bundle.json	41848	58	0	0	0	0	71	0	2	610	0	0	0	0	0	0	0	1	0	0	149	66	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMS-Transactional-Bundle.json	32257	36	0	0	0	0	16	0	1	75	0	0	0	0	0	0	0	0	0	0	128	82	0	0	0	0	0	0
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-absent-or-unknown-allergies.json	1332	3	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	15	2165	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	1097	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	82	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-plan.json	1076	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	12	65	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	948	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	11	58	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	637	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	48	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14608	43	0	0	0	0	0	0	1	42	0	0	0	0	0	0	0	0	0	0	80	102	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-cs-medical-conditions.json	778	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	42	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-medication-name.json	21724	56	1	0	0	0	0	0	2	48	0	0	0	0	0	0	0	0	0	0	114	105	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1891	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	2105	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	100501	153	0	0	0	0	0	0	8	236	0	0	1	0	0	0	0	1	0	0	492	291	0	0	0	19	0	12
fsh-generated/resources/CodeSystem-cs-risk-behaviour-physical-activity.json	714	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-risk-behaviour-tobacco-smoker.json	647	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	1	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	427	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	6092	12	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1270	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
